1,Sampel,Pencacahan;Pemeriksaan;Pengiriman Dokumen,Status,PCL,PML
2,Sampel,Pencacahan;Pemeriksaan;Pengiriman Dokumen,Status,PCL,PML
3,Sampel,Pencacahan;Pemeriksaan;Pengiriman Dokumen,Status,PCL,PML
4,Sampel,Pencacahan;Pemeriksaan,Status,PCL,PML
5,Sampel,Pencacahan;Pemeriksaan;Pengiriman Dokumen,Status,PCL,PML
6,Kecamatan;Kelurahan;Blok Sensus,Pencacahan;Pemeriksaan;Pengiriman Dokumen,Status,PCL,PML
7,Kecamatan;Kelurahan;Blok sensus/Subsegmen;Nama Responden;Komoditas,Kwitansi;Visum;Entri Data;Foto,Status,PCL,PML
8,Kecamatan;Kelurahan;Segmen,Pencacahan;Pemeriksaan,Status,PCL,PML
9,Dokumen,Dokumen Masuk;Entri Data,Status,PCL,PML
10,Dokumen,Dokumen Masuk;Entri Data,Status,PCL,PML
11,Dokumen,Dokumen Masuk;Entri Data,Status,PCL,PML
12,Dokumen,Dokumen Masuk;Entri Data,Status,PCL,PML
13,Kecamatan;Kelurahan;Nama Usaha;Alamat;CP;Komoditas;Keteranga,Status,Pencacahan;Submitted by PCL;Approved by PML,PCL,PML
14,Kecamatan;Kelurahan;Blok Sensus;NKS;Jumlah Bangunan Blok Sensus;Jumlah Ruta,Pencacahan;Submitted by PCL;Approved by PML,Status,PCL,PML
15,Kecamatan;Kelurahan;Blok Sensus;Nama Usaha;Alamat;Telp;KBLI;Klasifikasi Industri,Pencacahan;Submitted by PCL;Approved by PML,Status,PCL,PML
16,Nama Perusahaan;Alamat;Telp;Produk Utama;Keterangan,Pencacahan;Submitted by PCL;Approved by PML,Status,PCL,PML
17,Kecamatan;Kelurahan;Nama Perusahaan;Alamat;Telp;Produk Utama;KBLI;Keterangan,Pencacahan;Submitted by PCL;Approved by PML,Status,PCL,PML
18,Nama Perusahaan;Alamat;Kontak,Pencacahan;Pemeriksaan;Pengiriman Dokumen,Status,PCL,PML
19,Nama Perusahaan;Alamat,Pencacahan;Pemeriksaan;Pengiriman Dokumen,Status,PCL,PML
20,Nama Perusahaan;Alamat,Pencacahan;Pemeriksaan;Pengiriman Dokumen,Status,PCL,PML
21,Nama Perusahaan;Alamat;Telp;Kegiatan,Pencacahan;Pemeriksaan;Pengiriman Dokumen,Status,PCL,PML
22,Sampel,Pencacahan;Pemeriksaan;Entri Dokumen,Status,PCL,PML
23,Nama Perusahaan;Nama Pengusaha;Alamat;CP,Pencacahan;Pemeriksaan,Status,PCL,PML
24,Nama Perusahaan;Alamat;Keterangan,Pencacahan;Pemeriksaan,Status,PCL,PML
25,Nama Perusahaan;Alamat,Pencacahan;Pemeriksaan;Pengiriman Dokumen,Status,PCL,PML
26,Nama Perusahaan;Alamat;Keterangan;Sampel Pengganti,Pencacahan;Submitted by PCL;Aprroved by PML,Status,PCL,PML
